"MEMBER_NO";"FFP_DATE";"FIRST_FLIGHT_DATE";"GENDER";"FFP_TIER";"WORK_CITY";"WORK_PROVINCE";"WORK_COUNTRY";"AGE";"LOAD_TIME";"FLIGHT_COUNT";"BP_SUM";"SUM_YR_1";"SUM_YR_2";"SEG_KM_SUM";"LAST_FLIGHT_DATE";"LAST_TO_END";"AVG_INTERVAL";"MAX_INTERVAL";"EXCHANGE_COUNT";"avg_discount";"Points_Sum";"Point_NotFlight"
10;"2005-09-29";"2005-09-29";"Female";5;"";"Beijing";"CN";45.0;"2014-03-31";54;45135;17618.0;28121.0;62170;"2014-03-20";12;12.83019;51;2;0.78807;47420;5
20;"2010-07-08";"2010-08-02";"Male";4;"Shenzhen";"Guangdong";"CN";52.0;"2014-03-31";30;47734;28728.0;18066.0;46621;"2014-01-14";78;19.31034;148;0;0.92941;48512;0
35;"2009-12-01";"2009-12-17";"Male";4;"Guangzhou";"Guangdong";"CN";48.0;"2014-03-31";46;35747;22272.0;16039.0;66927;"2014-03-23";9;15.4;90;0;0.64566;38442;13
44;"2006-11-17";"2006-11-17";"Male";5;"Shenyang";"Liaoning";"CN";43.0;"2014-03-31";83;71448;43283.0;26521.0;95665;"2014-03-29";3;8.87805;42;6;0.83298;162791;55
54;"2010-02-23";"2010-04-03";"Male";6;"Guangzhou";"Guangdong";"CN";49.0;"2014-03-31";83;104436;47411.0;48809.0;134621;"2014-03-24";8;8.78049;26;6;0.80174;195726;44
62;"2010-06-07";"2011-10-31";"Female";4;"Beijing";"Beijing";"CN";28.0;"2014-03-31";45;46880;35419.0;12328.0;80124;"2014-03-07";25;15.81818;130;3;0.67875;46880;3
71;"2010-08-08";"2011-11-16";"Male";5;"Dalian";"Liaoning";"CN";59.0;"2014-03-31";84;60940;33665.0;31454.0;79768;"2014-03-29";3;8.46988;71;5;0.84836;78873;41
78;"2010-05-11";"2010-05-11";"Female";4;"Beijing";"Beijing";"CN";29.0;"2014-03-31";14;28045;9830.0;2100.0;104188;"2013-11-25";128;44.15385;272;0;0.38128;32817;17
79;"2010-10-29";"2011-03-18";"Female";5;"Guangzhou";"Guangdong";"CN";32.0;"2014-03-31";27;33676;14885.0;17349.0;49003;"2014-01-23";69;25.42308;110;2;0.74858;35486;11
85;"2010-11-15";"2010-12-30";"Male";4;"Beijing";"Beijing";"CN";32.0;"2014-03-31";36;29003;16717.0;13774.0;44761;"2014-03-25";7;20.11429;144;4;0.7293;32282;27
100;"2010-11-17";"2011-06-07";"Female";5;"Guangzhou";"Guangdong";"CN";31.0;"2014-03-31";64;66106;41568.0;25794.0;113219;"2014-03-09";23;11.1746;68;2;0.68638;75624;16
115;"2008-10-24";"2008-10-24";"Male";5;"Shenyang";"Liaoning";"CN";53.0;"2014-03-31";78;51073;20023.0;25090.0;61691;"2014-03-05";27;9.06494;53;3;0.82449;87859;44
142;"2010-12-20";"2011-04-05";"Male";4;"Shenyang";"Liaoning";"CN";40.0;"2014-03-31";24;31491;9028.0;25051.0;56650;"2014-03-27";5;22.21739;67;0;0.70351;48341;32
145;"2010-10-19";"2010-10-19";"Male";6;"Guangzhou";"Guangdong";"CN";38.0;"2014-03-31";96;48787;22120.0;37987.0;81229;"2014-03-31";1;7.11579;39;2;0.69641;55040;9
156;"2011-01-13";"2011-01-22";"Male";6;"Guangzhou";"Guangdong";"CN";37.0;"2014-03-31";27;85428;41202.0;16860.0;106399;"2014-01-03";89;23.88462;77;1;0.81671;168458;42
194;"2011-01-13";"2011-01-21";"Male";4;"Guangzhou";"Guangdong";"CN";31.0;"2014-03-31";35;33962;15677.0;16627.0;45358;"2014-03-24";8;19.79412;78;1;0.77375;66884;46
229;"2011-02-01";"2011-03-20";"Female";5;"Zhengzhou";"Henan";"CN";49.0;"2014-03-31";46;35274;18690.0;15310.0;44119;"2014-03-20";12;15.86667;73;4;0.81814;37471;15
242;"2011-05-09";"2011-08-22";"Male";5;"Guangzhou";"Guangdong";"CN";36.0;"2014-03-31";39;24963;6913.0;26505.0;60505;"2014-03-21";11;18.71053;139;1;0.58992;32239;27
272;"2011-07-31";"2012-01-20";"Male";5;"Guangzhou";"Guangdong";"CN";30.0;"2014-03-31";45;42816;8931.0;38456.0;81656;"2014-03-22";10;11.81818;62;1;0.65113;54987;33
278;"2011-07-31";"2012-04-24";"Male";4;"Zhengzhou";"Henan";"CN";34.0;"2014-03-31";32;24183;7489.0;17479.0;40662;"2014-03-11";21;22.16129;135;0;0.69721;29262;18
